"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.361278750E-1,-2.769241333E-2,3.083587646E-2,9.846823425E0,9.846910647E0
7.461468750E-1,-3.053649902E-2,1.377136230E-2,9.837991791E0,9.838048821E0
7.561658750E-1,-2.604583740E-2,1.062789917E-2,9.842482452E0,9.842522652E0
7.661848750E-1,-2.484832764E-2,1.601669312E-2,9.828112335E0,9.828156798E0
7.762038750E-1,-2.619552612E-2,2.125579834E-2,9.832153931E0,9.832211803E0
7.862228750E-1,-2.784210205E-2,1.990859985E-2,9.829309845E0,9.829369439E0
7.962418750E-1,-2.814147949E-2,1.706451416E-2,9.840386810E0,9.840441846E0
8.062608750E-1,-2.918930054E-2,1.916015625E-2,9.829609222E0,9.829671235E0
8.162798750E-1,-2.948867798E-2,2.694396973E-2,9.834399261E0,9.834480382E0
8.262998750E-1,-3.412902832E-2,2.814147949E-2,9.836195526E0,9.836294992E0
8.363188750E-1,-3.233276367E-2,2.065704346E-2,9.839638367E0,9.839713172E0
8.463378750E-1,-2.679428101E-2,1.122665405E-2,9.833800507E0,9.833843418E0
8.563568750E-1,-2.365081787E-2,1.347198486E-2,9.838440857E0,9.838478508E0
8.663758750E-1,-2.529739380E-2,1.182540894E-2,9.829309845E0,9.829349512E0
8.763948750E-1,-2.574645996E-2,1.332229614E-2,9.826166382E0,9.826209143E0
8.864138750E-1,-2.724334717E-2,1.691482544E-2,9.838291168E0,9.838343429E0
8.964328750E-1,-2.859054565E-2,2.200424194E-2,9.834399261E0,9.834465437E0
9.064518750E-1,-2.724334717E-2,1.302291870E-2,9.834998016E0,9.835044371E0
9.164708750E-1,-3.053649902E-2,2.724334717E-2,9.838590546E0,9.838675653E0
9.264898750E-1,-3.098556519E-2,1.990859985E-2,9.835147705E0,9.835216665E0
9.365088750E-1,-2.784210205E-2,2.514770508E-2,9.833351440E0,9.833423012E0
9.465278750E-1,-2.080673218E-2,1.646575928E-2,9.830806732E0,9.830842540E0
9.565468750E-1,-3.308120728E-2,9.879455566E-3,9.834848328E0,9.834908927E0
9.665658750E-1,-2.859054565E-2,2.859054565E-2,9.824070740E0,9.824153945E0
9.765848750E-1,-2.320175171E-2,2.035766602E-2,9.826914825E0,9.826963302E0
9.866038750E-1,-3.427871704E-2,2.185455322E-2,9.837991791E0,9.838075784E0
9.966228750E-1,-2.903961182E-2,1.826202393E-2,9.826914825E0,9.826974702E0
1.006641875E0,-2.829116821E-2,1.781295776E-2,9.834548950E0,9.834605775E0
1.016660875E0,-2.859054565E-2,1.272354126E-2,9.826016693E0,9.826066525E0
1.026679875E0,-3.353027344E-2,1.392105103E-2,9.825867004E0,9.825934076E0
1.036698875E0,-2.874023438E-2,1.706451416E-2,9.831405487E0,9.831462305E0
1.046717875E0,-1.916015625E-2,2.020797729E-2,9.830058289E0,9.830097733E0
1.056736875E0,-2.933898926E-2,1.272354126E-2,9.830657043E0,9.830709057E0
1.066755875E0,-2.634521484E-2,1.676513672E-2,9.831704865E0,9.831754456E0
1.076774875E0,-2.380050659E-2,2.724334717E-2,9.827812958E0,9.827879537E0
1.086793875E0,-2.529739380E-2,1.631607056E-2,9.828561401E0,9.828607500E0
1.096812875E0,-2.694396973E-2,1.377136230E-2,9.824519806E0,9.824566405E0
1.106831875E0,-2.978805542E-2,8.681945801E-3,9.829459534E0,9.829508504E0
1.116850875E0,-2.215393066E-2,1.556762695E-2,9.840386810E0,9.840424062E0
1.126869875E0,-3.008743286E-2,2.305206299E-2,9.828112335E0,9.828185424E0
1.136888875E0,-2.305206299E-2,2.814147949E-2,9.829908600E0,9.829975912E0
1.146907875E0,-3.008743286E-2,2.484832764E-2,9.830507355E0,9.830584802E0
1.156926875E0,-2.664459229E-2,1.392105103E-2,9.836943970E0,9.836989905E0
1.166945875E0,-2.469863892E-2,1.781295776E-2,9.834548950E0,9.834596096E0
1.176964875E0,-2.769241333E-2,1.706451416E-2,9.830058289E0,9.830112106E0
1.186983875E0,-3.158432007E-2,2.020797729E-2,9.816286926E0,9.816358538E0
1.197002875E0,-2.739303589E-2,1.811233521E-2,9.828711090E0,9.828765951E0
1.207021875E0,-1.945953369E-2,1.541793823E-2,9.832902374E0,9.832933717E0
1.217040875E0,-2.469863892E-2,1.317260742E-2,9.829908600E0,9.829948455E0
1.227059875E0,-2.814147949E-2,8.532257080E-3,9.832303619E0,9.832347594E0
1.237078875E0,-3.068618774E-2,2.305206299E-2,9.829010468E0,9.829085401E0
1.247097875E0,-2.948867798E-2,1.706451416E-2,9.838740234E0,9.838799224E0
1.257116875E0,-2.110610962E-2,2.514770508E-2,9.831405487E0,9.831460305E0
1.267135875E0,-2.080673218E-2,1.721420288E-2,9.829309845E0,9.829346941E0
1.277154875E0,-2.320175171E-2,2.020797729E-2,9.831555176E0,9.831603321E0
1.287173875E0,-2.679428101E-2,2.380050659E-2,9.832153931E0,9.832219247E0
1.297193667E0,-2.649490356E-2,1.646575928E-2,9.824370117E0,9.824419642E0
1.307212667E0,-2.140548706E-2,1.871109009E-2,9.829160156E0,9.829201274E0
1.317231667E0,-1.871109009E-2,1.886077881E-2,9.842482452E0,9.842518309E0
1.327250667E0,-2.933898926E-2,2.559677124E-2,9.830207977E0,9.830285085E0
1.337269667E0,-2.709365845E-2,1.916015625E-2,9.831106110E0,9.831162114E0
1.347288667E0,-2.559677124E-2,1.422042847E-2,9.834998016E0,9.835041606E0
1.357307667E0,-2.365081787E-2,2.260299683E-2,9.834698639E0,9.834753051E0
1.367326667E0,-2.484832764E-2,9.879455566E-3,9.833201752E0,9.833238110E0
1.377345667E0,-2.499801636E-2,1.272354126E-2,9.833052063E0,9.833092070E0
1.387364667E0,-3.008743286E-2,2.679428101E-2,9.832004242E0,9.832086788E0
1.397383667E0,-2.724334717E-2,2.619552612E-2,9.840386810E0,9.840459389E0
1.407402667E0,-2.649490356E-2,2.065704346E-2,9.838740234E0,9.838797594E0
1.417421667E0,-2.829116821E-2,1.811233521E-2,9.834998016E0,9.835055385E0
1.427440667E0,-3.113525391E-2,2.290237427E-2,9.836345215E0,9.836421153E0
1.437459667E0,-2.888992310E-2,2.050735474E-2,9.834249573E0,9.834313389E0
1.447478667E0,-3.382965088E-2,1.601669312E-2,9.839638367E0,9.839709557E0
1.457497667E0,-2.814147949E-2,1.377136230E-2,9.835147705E0,9.835197607E0
1.467516667E0,-2.544708252E-2,1.556762695E-2,9.842183075E0,9.842228284E0
1.477535667E0,-2.724334717E-2,1.571731567E-2,9.827513580E0,9.827563910E0
1.487555667E0,-1.930984497E-2,1.975891113E-2,9.830058289E0,9.830097113E0
1.497573667E0,-2.080673218E-2,1.706451416E-2,9.833650818E0,9.833687636E0
1.507593667E0,-3.203338623E-2,1.496887207E-2,9.838889923E0,9.838953457E0
1.517612667E0,-2.664459229E-2,2.350112915E-2,9.828860779E0,9.828924989E0
1.527631667E0,-2.769241333E-2,2.544708252E-2,9.835746460E0,9.835818362E0
1.537650667E0,-2.439926147E-2,2.544708252E-2,9.836943970E0,9.837007144E0
1.547669667E0,-3.457809448E-2,3.263214111E-2,9.839039612E0,9.839154485E0
1.557688667E0,-2.679428101E-2,1.960922241E-2,9.829908600E0,9.829964676E0
1.567707667E0,-2.664459229E-2,1.272354126E-2,9.827363892E0,9.827408248E0
1.577726667E0,-2.305206299E-2,1.182540894E-2,9.832153931E0,9.832188065E0
1.587745667E0,-2.380050659E-2,1.496887207E-2,9.835746460E0,9.835786647E0
1.597764667E0,-2.918930054E-2,1.901046753E-2,9.822424164E0,9.822485931E0
1.607783667E0,-3.517684937E-2,1.930984497E-2,9.812095642E0,9.812177698E0
1.617802667E0,-2.649490356E-2,3.293151855E-2,9.842183075E0,9.842273830E0
1.627821667E0,-2.305206299E-2,2.439926147E-2,9.838141479E0,9.838198742E0
1.637840667E0,-2.784210205E-2,2.739303589E-2,9.831106110E0,9.831183698E0
1.647859667E0,-3.472778320E-2,2.454895020E-2,9.826765137E0,9.826857164E0
1.657878667E0,-2.499801636E-2,9.729766846E-3,9.833650818E0,9.833687405E0
1.667897667E0,-3.353027344E-2,1.152603149E-2,9.836345215E0,9.836409117E0
1.677916667E0,-2.874023438E-2,1.916015625E-2,9.838889923E0,9.838950555E0
1.687935667E0,-2.380050659E-2,1.077758789E-2,9.833351440E0,9.833386150E0
1.697954667E0,-2.454895020E-2,2.155517578E-2,9.831854553E0,9.831908830E0
1.707973667E0,-3.083587646E-2,1.886077881E-2,9.833052063E0,9.833118501E0
1.717992667E0,-3.158432007E-2,1.032852173E-2,9.834548950E0,9.834605091E0
1.728011667E0,-2.649490356E-2,7.783813477E-3,9.833351440E0,9.833390215E0
1.738030667E0,-2.484832764E-2,2.604583740E-2,9.835147705E0,9.835213582E0
1.748049667E0,-2.739303589E-2,2.694396973E-2,9.828860779E0,9.828935882E0
1.758068667E0,-2.409988403E-2,2.125579834E-2,9.823471985E0,9.823524543E0
1.768087667E0,-2.634521484E-2,1.392105103E-2,9.831405487E0,9.831450642E0
1.778106667E0,-3.113525391E-2,1.122665405E-2,9.833201752E0,9.833257453E0
1.788125667E0,-1.751358032E-2,1.901046753E-2,9.832303619E0,9.832337595E0
1.798144667E0,-3.113525391E-2,2.035766602E-2,9.832752686E0,9.832823054E0
1.808163667E0,-3.323089600E-2,2.080673218E-2,9.830058289E0,9.830136478E0
1.818182667E0,-3.113525391E-2,9.131011963E-3,9.837692413E0,9.837745921E0
1.828201667E0,-2.859054565E-2,1.945953369E-2,9.838740234E0,9.838801019E0
1.838220667E0,-3.083587646E-2,1.526824951E-2,9.827513580E0,9.827573818E0
1.848239667E0,-3.143463135E-2,2.260299683E-2,9.824819183E0,9.824895471E0
1.858258667E0,-2.829116821E-2,2.035766602E-2,9.833501129E0,9.833562899E0
1.868277667E0,-3.323089600E-2,1.871109009E-2,9.837991791E0,9.838065708E0
1.878296667E0,-2.604583740E-2,1.871109009E-2,9.838590546E0,9.838642814E0
1.888315667E0,-2.350112915E-2,1.631607056E-2,9.836045837E0,9.836087445E0
1.898334667E0,-1.826202393E-2,1.227447510E-2,9.837692413E0,9.837717021E0
1.908353667E0,-2.395019531E-2,2.439926147E-2,9.839189301E0,9.839248702E0
1.918372667E0,-2.844085693E-2,1.287322998E-2,9.828262024E0,9.828311605E0
1.928391667E0,-2.993774414E-2,1.182540894E-2,9.826316071E0,9.826368792E0
1.938410667E0,-3.637435913E-2,1.886077881E-2,9.836794281E0,9.836879614E0
1.948429667E0,-2.664459229E-2,1.886077881E-2,9.819131012E0,9.819185276E0
1.958448667E0,-2.589614868E-2,1.856140137E-2,9.833052063E0,9.833103681E0
1.968467667E0,-3.053649902E-2,1.856140137E-2,9.833351440E0,9.833416372E0
1.978486667E0,-2.424957275E-2,1.826202393E-2,9.831405487E0,9.831452354E0
1.988505667E0,-2.065704346E-2,1.107696533E-2,9.835447083E0,9.835475013E0
1.998524667E0,-2.529739380E-2,2.035766602E-2,9.838141479E0,9.838195066E0
2.008543667E0,-2.769241333E-2,1.736389160E-2,9.832453308E0,9.832507637E0
2.018562667E0,-1.930984497E-2,1.990859985E-2,9.823471985E0,9.823511137E0
2.028581667E0,-3.218307495E-2,2.604583740E-2,9.832902374E0,9.832989537E0
2.038600667E0,-2.814147949E-2,1.481918335E-2,9.834548950E0,9.834600379E0
2.048619667E0,-3.128494263E-2,2.035766602E-2,9.834998016E0,9.835068844E0
2.058638667E0,-3.248245239E-2,2.200424194E-2,9.837991791E0,9.838070023E0
2.068657667E0,-2.050735474E-2,1.960922241E-2,9.829309845E0,9.829350798E0
2.078676667E0,-2.065704346E-2,2.230361938E-2,9.834399261E0,9.834446248E0
2.088695667E0,-2.604583740E-2,1.631607056E-2,9.844727783E0,9.844775758E0
2.098715667E0,-2.993774414E-2,1.541793823E-2,9.839638367E0,9.839695990E0
2.108733667E0,-3.218307495E-2,1.676513672E-2,9.836195526E0,9.836262463E0
2.118753667E0,-3.038681030E-2,1.811233521E-2,9.818831635E0,9.818895360E0
